junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
				CGACAFTENSMUST00000099355JUNC00415	447
				CGACAFTENST00000531443JUNC00416	3077
				CGACAFTENST00000442977JUNC00417	4
				CGACAFTENST00000312046JUNC00418	325
				CGACAFTENST00000449762JUNC00419	312
				CGACAFTENST00000297447JUNC00420	87
				CGACAFTENST00000341376JUNC00421	143
				CGACAFTENST00000353205JUNC00422	476
				CGACAFTENSMUST00000159063JUNC00423	355
				CGACAFTENST00000585517JUNC00424	1102
				CGACAFTENST00000404395JUNC00425	2443
				CGACAFTENST00000536386JUNC00426	176
				CGACAFTENST00000536386JUNC00427	249
				CGACAFTENST00000536386JUNC00428	108
				CGACAFTENST00000536386JUNC00429	105
				CGACAFTENST00000545552JUNC00430	123
				CGACAFTENST00000545552JUNC00431	154
				CGACAFTENST00000545552JUNC00432	60
				CGACAFTENSMUST00000111758JUNC00433	964
				CGACAFTENSMUST00000203187JUNC00434	480
				CGACAFTENST00000512091JUNC00437	316
				CGACAFTENST00000512091JUNC00438	112
				CGACAFTENST00000512091JUNC00439	134
				CGACAFTENST00000512091JUNC00440	145
				CGACAFTENST00000512091JUNC00441	124
				CGACAFTENSMUST00000072521JUNC00442	22
				CGACAFTENST00000586534JUNC00443	1807
				CGACAFTENST00000530767JUNC00445	11
				CGACAFTENST00000527759JUNC00446	57
				CGACAFTENST00000392348JUNC00447	718
				CGACAFTENST00000370198JUNC00448	248
				CGACAFTENST00000370198JUNC00449	1983
				CGACAFTENST00000426335JUNC00450	1
				CGACAFTENSMUST00000028691JUNC00451	669
				CGACAFTENSMUST00000028691JUNC00452	682
				CGACAFTENST00000368912JUNC00453	3
				CGACAFTENST00000368914JUNC00454	608
				CGACAFTENST00000369697JUNC00455	194
				CGACAFTENST00000391851JUNC00456	6154
				CGACAFTENST00000438313JUNC00459	620
				CGACAFTENST00000510624JUNC00460	195
				CGACAFTENST00000379951JUNC00461	424
				CGACAFTENST00000357167JUNC00462	2
				CGACAFTENST00000361452JUNC00463	5
				CGACAFTENST00000218008JUNC00467	21
				CGACAFTENST00000410079JUNC00468	44
				CGACAFTENST00000508530JUNC00469	424
				CGACAFTENST00000252485JUNC00470	2589
				CGACAFTENST00000544474JUNC00471	501
				CGACAFTENST00000393758JUNC00472	40
				CGACAFTENST00000454580JUNC00473	31
