sum	species
3612	hs
4281	hs
3195	hs
2136	hs
2080	hs
2450	hs
2314	hs
2583	hs
3065	hs
42	hs
66	hs
331	hs
394	hs
475	hs
440	hs
334	hs
394	hs
314	hs
396	hs
390	hs
486	hs
441	hs
473	hs
406	hs
605	hs
490	hs
508	hs
179	hs
53	hs
63	hs
202	hs
366	hs
483	hs
553	hs
477	hs
339	hs
108	hs
309	hs
121	hs
9	hs
199	hs
2812	hs
616	hs
2269	hs
1753	hs
2492	hs
1919	hs
1531	hs
671	hs
830	hs
1061	hs
1369	hs
988	hs
1085	hs
860	hs
1163	hs
1331	hs
1432	hs
1034	hs
1344	hs
966	hs
1404	hs
1326	hs
1278	hs
98	hs
352	hs
250	hs
287	hs
342	hs
278	hs
248	hs
303	hs
239	hs
205	hs
299	hs
262	hs
249	hs
319	hs
253	hs
179	hs
265	hs
24	hs
11	hs
11	hs
189	hs
1344	hs
1215	hs
1160	hs
721	hs
1284	hs
1230	hs
1285	hs
1229	hs
1163	hs
1111	hs
1171	hs
1070	hs
460	hs
1401	hs
1608	hs
1610	hs
1725	hs
1491	hs
2057	hs
789	hs
2	hs
27	hs
152	hs
198	hs
259	hs
278	hs
295	hs
358	hs
377	hs
326	hs
284	hs
25	hs
67	hs
68	hs
599	hs
591	hs
725	hs
282	hs
283	hs
828	hs
809	hs
878	hs
862	hs
766	hs
777	hs
853	hs
690	hs
835	hs
722	hs
1111	hs
462	hs
629	hs
1125	hs
1136	hs
1070	hs
998	hs
1236	hs
1160	hs
416	hs
488	hs
23	hs
16	hs
26	hs
459	hs
190	hs
1815	hs
1415	hs
1634	hs
1434	hs
1799	hs
1689	hs
7	hs
2	hs
12	hs
12	hs
2	hs
4	hs
4	hs
4	hs
7	hs
5	hs
12	hs
1612	hs
1625	hs
1438	hs
411	hs
1885	hs
1447	hs
1924	hs
2246	hs
2120	hs
2349	hs
1936	hs
1814	hs
2191	hs
2161	hs
1403	hs
2021	hs
2107	hs
2662	hs
1800	hs
1965	hs
2528	hs
238	hs
644	hs
716	hs
653	hs
814	hs
668	hs
615	hs
674	hs
954	hs
1025	hs
1094	hs
1070	hs
552	hs
1268	hs
1140	hs
1188	hs
1150	hs
1074	hs
540	hs
648	hs
211	hs
1009	hs
788	hs
1012	hs
902	hs
929	hs
956	hs
1000	hs
962	hs
496	hs
1451	hs
664	hs
661	hs
596	hs
295	hs
271	hs
636	hs
751	hs
848	hs
911	hs
856	hs
996	hs
1103	hs
1076	hs
257	hs
696	hs
400	hs
555	hs
731	hs
990	hs
841	hs
1017	hs
1058	hs
1126	hs
1175	hs
822	hs
1054	hs
1255	hs
220	hs
275	hs
148	hs
121	hs
152	hs
128	hs
113	hs
124	hs
181	hs
214	hs
214	hs
4	hs
5	hs
1266	hs
939	hs
969	hs
1536	hs
996	hs
1055	hs
731	hs
1034	hs
1182	hs
1373	hs
1244	hs
1685	hs
1102	hs
1415	hs
1614	hs
11	hs
278	hs
399	hs
624	hs
671	hs
114	hs
54	hs
83	hs
152	hs
213	hs
217	hs
226	hs
232	hs
257	hs
178	hs
276	hs
251	hs
307	hs
87	hs
16	hs
22	hs
44	hs
4	hs
62	hs
35	hs
33	hs
726	hs
664	hs
702	hs
652	hs
537	hs
643	hs
833	hs
976	hs
928	hs
1144	hs
1086	hs
1220	hs
1145	hs
1340	hs
116	hs
131	hs
145	hs
157	hs
208	hs
157	hs
71	hs
90	hs
181	hs
149	hs
185	hs
168	hs
82	hs
16	hs
26	hs
410	hs
440	hs
447	hs
419	hs
207	hs
375	hs
117	hs
58	hs
79	hs
102	hs
44	hs
54	hs
55	hs
60	hs
50	hs
56	hs
39	hs
121	hs
254	hs
241	hs
176	hs
347	hs
368	hs
383	hs
472	hs
424	hs
447	hs
6	hs
13	hs
378	hs
570	hs
405	hs
416	hs
574	hs
762	hs
412	hs
756	hs
390	hs
419	hs
13	hs
143	hs
81	hs
67	hs
60	hs
126	hs
173	hs
149	hs
20	hs
57	hs
64	hs
96	hs
107	hs
112	hs
93	hs
55	hs
65	hs
54	hs
135	hs
87	hs
110	hs
90	hs
87	hs
118	hs
102	hs
107	hs
128	hs
120	hs
72	hs
23	hs
65	hs
64	hs
112	hs
70	hs
112	hs
84	hs
82	hs
110	hs
112	hs
68	hs
91	hs
1365	hs
1464	hs
1630	hs
1677	hs
1518	hs
2007	hs
2393	hs
1667	hs
452	hs
436	hs
320	hs
395	hs
366	hs
417	hs
490	hs
310	hs
329	hs
535	hs
453	hs
324	hs
506	hs
527	hs
503	hs
536	hs
430	hs
413	hs
526	hs
620	hs
521	hs
537	hs
515	hs
438	hs
142	hs
520	hs
543	hs
669	hs
635	hs
832	hs
503	hs
135	hs
178	hs
248	hs
40	hs
37	hs
37	hs
30	hs
453	hs
431	hs
442	hs
262	hs
353	hs
551	hs
488	hs
442	hs
395	hs
421	hs
449	hs
442	hs
474	hs
470	hs
426	hs
463	hs
533	hs
517	hs
574	hs
620	hs
618	hs
433	hs
473	hs
518	hs
566	hs
627	hs
665	hs
694	hs
497	hs
582	hs
584	hs
735	hs
714	hs
914	hs
591	hs
690	hs
796	hs
864	hs
835	hs
656	hs
805	hs
858	hs
4	hs
2850	hs
2409	hs
2024	hs
2408	hs
2832	hs
2143	hs
3547	hs
671	hs
645	hs
756	hs
738	hs
974	hs
569	hs
773	hs
854	hs
901	hs
229	hs
178	hs
753	hs
1036	hs
727	hs
595	hs
181	hs
217	hs
265	hs
206	hs
23	hs
586	hs
518	hs
672	hs
483	hs
395	hs
641	hs
494	hs
580	hs
657	hs
715	hs
743	hs
699	hs
750	hs
526	hs
747	hs
694	hs
749	hs
836	hs
761	hs
1021	hs
873	hs
143	hs
139	hs
992	hs
1165	hs
1307	hs
1183	hs
1595	hs
1302	hs
366	hs
1390	hs
680	hs
909	hs
158	hs
217	hs
487	hs
564	hs
522	hs
514	hs
769	hs
504	hs
707	hs
643	hs
555	hs
549	hs
655	hs
810	hs
865	hs
297	hs
250	hs
753	hs
716	hs
296	hs
436	hs
459	hs
507	hs
585	hs
492	hs
538	hs
734	hs
593	hs
587	hs
43	hs
267	hs
822	hs
829	hs
869	hs
896	hs
920	hs
1167	hs
1077	hs
738	hs
253	hs
385	hs
122	hs
160	hs
511	hs
866	hs
642	hs
941	hs
921	hs
972	hs
959	hs
884	hs
930	hs
741	hs
846	hs
258	hs
626	hs
977	hs
809	hs
1008	hs
768	hs
1200	hs
924	hs
830	hs
1025	hs
667	hs
891	hs
2	hs
115	hs
22	hs
4	hs
48	hs
232	hs
791	hs
942	hs
579	hs
495	hs
578	hs
687	hs
755	hs
32	hs
168	hs
229	hs
1	hs
2	hs
187	hs
296	hs
545	hs
444	hs
441	hs
375	hs
514	hs
532	hs
404	hs
450	hs
379	hs
509	hs
383	hs
754	hs
900	hs
1014	hs
669	hs
693	hs
